source,target,amount,label
7188,1,10,0
430,1,10,0
3134,1,10,0
3026,1,10,0
3010,1,10,0
804,1,10,0
160,1,10,0
95,1,9,0
377,1,7,0
888,1,7,0
89,1,7,0
1901,1,6,0
161,1,6,0
256,1,6,0
351,1,5,0
3329,1,5,0
3341,1,5,0
649,1,5,0
1583,1,5,0
87,1,5,0
37,1,5,0
309,1,5,0
821,1,5,0
1496,1,5,0
637,1,5,0
964,1,5,0
594,1,5,0
2249,1,5,0
554,1,5,0
20,1,5,0
2227,1,5,0
1315,1,5,0
519,1,5,0
1316,1,5,0
2149,1,5,0
1724,1,5,0
18,1,5,0
57,1,5,0
118,1,4,0
3254,1,4,0
1177,1,4,0
112,1,4,0
11,1,4,0
586,1,4,0
35,1,4,0
15,1,4,0
1445,1,4,0
152,1,4,0
2,1,4,0
113,1,4,0
44,1,3,0
2401,1,3,0
10,1,3,0
2378,1,3,0
126,1,3,0
3245,1,3,0
783,1,3,0
493,1,3,0
1358,1,3,0
1180,1,3,0
529,1,3,0
333,1,3,0
1538,1,3,0
2282,1,3,0
1519,1,3,0
2966,1,3,0
474,1,3,0
330,1,3,0
958,1,3,0
17,1,3,0
1295,1,3,0
38,1,3,0
1952,1,3,0
223,1,3,0
625,1,2,0
1392,1,2,0
3355,1,2,0
1881,1,2,0
58,1,2,0
96,1,2,0
1580,1,2,0
196,1,2,0
146,1,2,0
416,1,2,0
1198,1,2,0
3319,1,2,0
1867,1,2,0
896,1,2,0
617,1,2,0
3300,1,2,0
1877,1,2,0
462,1,2,0
3279,1,2,0
454,1,2,0
1860,1,2,0
121,1,2,0
151,1,2,0
1570,1,2,0
1573,1,2,0
1063,1,2,0
1353,1,2,0
459,1,2,0
2334,1,2,0
1267,1,2,0
1060,1,2,0
1061,1,2,0
7431,1,2,0
1355,1,2,0
71,1,2,0
3070,1,2,0
2113,1,2,0
3001,1,2,0
396,1,2,0
2260,1,2,0
142,1,2,0
2238,1,2,0
123,1,2,0
2942,1,2,0
1509,1,2,0
7410,1,2,0
1760,1,2,0
2876,1,2,0
259,1,2,0
1493,1,2,0
2845,1,2,0
370,1,2,0
2844,1,2,0
2167,1,2,0
156,1,2,0
2808,1,2,0
255,1,2,0
736,1,2,0
7603,1,2,0
346,1,2,0
9,1,2,0
75,1,2,0
175,1,2,0
2754,1,2,0
22,1,2,0
155,1,2,0
1261,1,2,0
2552,1,2,0
2586,1,2,0
710,1,2,0
578,1,2,0
472,1,2,0
2472,1,2,0
1606,1,2,0
4,1,2,0
563,1,2,0
744,1,1,0
3422,1,1,0
250,1,1,0
249,1,1,0
2427,1,1,0
3414,1,1,0
1590,1,1,0
2305,1,1,0
1900,1,1,0
3392,1,1,0
1065,1,1,0
1147,1,1,0
1072,1,1,0
3375,1,1,0
1024,1,1,0
709,1,1,0
1382,1,1,0
3332,1,1,0
1885,1,1,0
3330,1,1,0
1197,1,1,0
3316,1,1,0
1886,1,1,0
154,1,1,0
1522,1,1,0
2391,1,1,0
3298,1,1,0
432,1,1,0
3292,1,1,0
3290,1,1,0
7597,1,1,0
3274,1,1,0
1875,1,1,0
291,1,1,0
158,1,1,0
1579,1,1,0
1846,1,1,0
1066,1,1,0
290,1,1,0
3233,1,1,0
891,1,1,0
247,1,1,0
1856,1,1,0
3211,1,1,0
115,1,1,0
1365,1,1,0
483,1,1,0
3210,1,1,0
3189,1,1,0
3193,1,1,0
2352,1,1,0
1847,1,1,0
3173,1,1,0
1051,1,1,0
1843,1,1,0
2342,1,1,0
7341,1,1,0
3139,1,1,0
1186,1,1,0
3167,1,1,0
3149,1,1,0
1842,1,1,0
3156,1,1,0
3141,1,1,0
817,1,1,0
1840,1,1,0
1839,1,1,0
2324,1,1,0
3143,1,1,0
3142,1,1,0
174,1,1,0
2315,1,1,0
1356,1,1,0
1835,1,1,0
296,1,1,0
3118,1,1,0
1542,1,1,0
3111,1,1,0
753,1,1,0
3088,1,1,0
395,1,1,0
3068,1,1,0
3042,1,1,0
1442,1,1,0
1339,1,1,0
596,1,1,0
2281,1,1,0
222,1,1,0
194,1,1,0
3064,1,1,0
1812,1,1,0
1796,1,1,0
701,1,1,0
124,1,1,0
3057,1,1,0
7427,1,1,0
2276,1,1,0
2271,1,1,0
1525,1,1,0
2235,1,1,0
3027,1,1,0
2090,1,1,0
1342,1,1,0
331,1,1,0
3023,1,1,0
2261,1,1,0
68,1,1,0
116,1,1,0
1043,1,1,0
3020,1,1,0
491,1,1,0
179,1,1,0
2252,1,1,0
214,1,1,0
439,1,1,0
2147,1,1,0
1167,1,1,0
697,1,1,0
67,1,1,0
1793,1,1,0
258,1,1,0
1340,1,1,0
2996,1,1,0
1520,1,1,0
1336,1,1,0
30,1,1,0
178,1,1,0
747,1,1,0
2962,1,1,0
2952,1,1,0
455,1,1,0
260,1,1,0
623,1,1,0
29,1,1,0
1510,1,1,0
2927,1,1,0
301,1,1,0
2907,1,1,0
2909,1,1,0
1148,1,1,0
955,1,1,0
1502,1,1,0
2853,1,1,0
1500,1,1,0
2178,1,1,0
1320,1,1,0
874,1,1,0
2177,1,1,0
2892,1,1,0
636,1,1,0
1034,1,1,0
1494,1,1,0
276,1,1,0
1318,1,1,0
117,1,1,0
1492,1,1,0
1302,1,1,0
1313,1,1,0
1491,1,1,0
2870,1,1,0
2181,1,1,0
1309,1,1,0
1750,1,1,0
2848,1,1,0
1458,1,1,0
951,1,1,0
1029,1,1,0
2176,1,1,0
2846,1,1,0
347,1,1,0
2173,1,1,0
2826,1,1,0
1742,1,1,0
2166,1,1,0
2823,1,1,0
2820,1,1,0
2814,1,1,0
1736,1,1,0
1025,1,1,0
1482,1,1,0
1483,1,1,0
2152,1,1,0
2806,1,1,0
1128,1,1,0
2801,1,1,0
2795,1,1,0
1290,1,1,0
1288,1,1,0
1436,1,1,0
2498,1,1,0
2784,1,1,0
587,1,1,0
