source,destination,amount,label
2375,4259,9814.53,0
1972,3763,1640.1,0
1116,3606,9991.35,0
3049,607,3259.46,0
2206,3216,5509.69,0
2507,2735,5723.54,0
2279,2987,5555.22,0
3370,4298,1659.4,0
3726,689,3428.59,0
1634,3377,942.64,1
1262,486,9755.18,0
1168,2397,9185.39,0
1506,1043,5486.92,0
3766,3422,4162.14,0
1718,3060,7491.48,0
522,211,8865.06,0
4379,305,6046.25,0
2630,4210,1094.56,1
3707,1817,5053.37,0
4904,4120,7224.78,0
1348,514,4140.99,0
2033,1502,6752.45,0
3949,1134,8390.49,0
2773,1426,1407.04,0
1674,155,8517.6,1
1152,1084,3662.24,0
550,2739,8645.43,0
4660,1297,9013.29,0
3937,2638,8701.55,0
2639,4046,6046.78,0
979,2652,713.95,0
255,4759,9764.18,0
2185,1569,8826.9,0
3141,1019,4936.73,0
2827,2987,9982.86,0
105,2263,1264.14,0
3343,1639,5260.88,0
46,767,9209.86,0
229,4858,3499.19,0
430,2502,4387.64,0
3860,716,6517.08,0
2823,1204,5713.08,0
2550,834,659.0,1
2508,2690,3523.34,0
3598,316,1002.93,1
4824,14,7063.05,0
3716,3776,6981.84,0
3560,1294,4362.72,0
3451,864,7913.52,0
2130,3925,6651.04,0
4734,309,8366.78,0
243,1781,2181.23,0
1522,3304,5905.95,0
2646,3891,9124.15,0
1156,4389,5621.25,0
1912,3859,8003.27,0
2138,1505,2451.54,0
661,1977,4148.85,0
855,2746,99.67,0
3509,2275,8531.43,0
2736,469,2191.39,0
3711,1273,9337.65,0
2528,1121,8162.05,0
2836,1524,6521.48,0
3982,4736,7510.61,0
1396,1184,3557.62,0
4440,186,8316.62,0
4099,2234,386.88,0
67,3126,7319.43,0
3756,87,301.78,0
3136,690,9292.18,0
2609,3356,476.29,0
307,2182,5377.09,0
3427,4389,1930.52,0
2982,4148,8851.92,0
155,3229,5945.23,1
3267,899,4617.54,0
3915,3996,5050.82,0
4923,2195,361.98,0
814,2943,2540.85,0
1365,808,4625.34,0
3588,118,9168.59,0
1191,701,1574.18,0
3914,579,7101.0,0
4599,2297,8167.58,0
4945,4975,9380.44,0
1016,3823,5306.05,0
1635,2994,3151.93,0
2915,2918,880.86,0
4861,4031,2693.88,0
3111,1084,5017.5,0
4218,2533,4651.9,0
141,2307,9217.08,0
3934,3586,4632.82,0
1016,3203,5588.15,1
489,4210,4494.36,1
2789,525,1703.76,0
3862,4875,2454.76,0
3323,2997,998.28,0
163,3257,2312.06,0
4706,3420,5443.83,0
2954,2513,593.37,0
2537,694,4364.69,0
2083,761,4455.45,0
1723,4506,1916.49,0
3307,3198,9727.69,0
4048,211,3845.77,0
2162,2896,8845.32,0
4869,4659,5087.93,0
71,1968,1353.04,0
25,1392,4625.51,0
1392,2317,3700.4,0
2020,1548,5504.14,0
2452,3713,1632.28,0
1805,2291,6860.53,0
2446,2145,7917.94,0
4007,527,2617.94,0
3548,599,980.16,0
4622,1789,9757.21,0
1847,2480,8209.6,0
2303,2212,8243.25,0
4888,4776,327.97,0
4587,2531,2029.15,0
252,4863,2360.7,1
1044,3928,2215.95,0
3138,4944,6311.43,0
3305,3889,5850.58,0
2345,3648,976.59,0
240,1416,7074.33,0
3916,800,2028.73,0
1894,1395,6617.08,0
3389,3380,4635.88,0
2514,3375,8898.09,0
3984,591,8246.94,0
2657,1281,1110.13,0
1341,1235,2734.04,0
4827,3728,264.83,0
4646,2402,2458.07,0
2006,678,1407.9,0
4854,2768,1102.25,0
1344,415,9205.74,1
4206,3073,1909.65,0
3428,445,8922.32,0
861,3857,8564.58,0
4436,3815,3749.4,0
471,4322,8812.77,0
3703,1804,5983.46,0
3140,2161,8625.19,0
1896,419,5692.22,0
1015,3701,5610.64,0
421,4431,6267.83,0
2387,861,7129.17,0
930,1900,7035.01,0
1617,2333,89.52,1
4445,55,7291.73,0
251,4943,2697.78,0
1224,3593,873.45,0
2757,4110,4606.51,0
